time_stamp,Quarter_1,quarter,startup,sector,current_status,proof_of_concept,prototype_development,product_development,field_trails,market_launch,external_loans,angel_funds,vc_funds,other_funds,aic_funds,purpose,employees,turnover,gst_filed
7-19-2023 16:35:58,Q1- Apr 2023 to June 2023,Q1 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,2400000,0,0,1900000,0,Commercialisation,0,9000,0
10-18-2023 13:05:33,Q2- July 2023 to Sept 2023,Q2 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,0,0,0,0,700000,Commercialisation,2,0,0
01-04-2024 10:38,Q3- Oct 2023 - Dec 2023,Q3 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,3,0,0,0,0,0,Market Entry,2,0,0
04-10-2024 21:02,Q4- Jan 2024 - Mar 2024,Q4 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,0,3,0,0,0,0,0,Commercialisation,2,0,0
6-27-2024 21:38:24,Q1 - Apr 2024 - Jun 2024,Q1 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Commercialisation,2,0,0
10-08-2024 11:28,Q2 - July 2024 - Sept 2024,Q2 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Market Entry,2,0,0
1-17-2025 13:26:50,Q3 - Oct 2024 - Dec 2024,Q3 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,1400000,Prototype Development,0,0,0
7-21-2023 11:46:01,Q1- Apr 2023 to June 2023,Q1 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,1,0,0
10-18-2023 17:17:51,Q2 - July 2023 - Sept 2023,Q2 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
01-04-2024 10:01,Q3 - Oct 2023 - Dec 2023,Q3 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
04-12-2024 21:59,Q4 - Jan 2024 to March 2024,Q4 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,960000,Commercialisation,1,39200,4200
07-01-2024 16:51,Q1 - Apr 2024 to June 2024,Q1 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
10-10-2024 10:36,Q2 - July 2024 to Sept 2024,Q2 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
01-07-2025 08:34,Q3 - Oct 2024 to Dec 2024,Q3 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,3,0,0
4-16-2025 21:58:42,Q4 - Jan 2025 to Mar 2025,Q4 2025,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,52000,7980
7-19-2023 19:42:08,Q1- Apr 2023 to June 2023,Q1 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Market Entry,32,5921972,1063159
10-13-2023 16:43:42,Q2- July 2023 to Sept 2023,Q2 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,0,4,3,3,0,0,0,0,0,Product Trail,32,5605054,1008908
01-05-2024 11:42,Q3 - Oct 2023 - Dec 2023,Q3 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Product Trail,33,6000000,0
04-09-2024 15:02,Q4- Jan 2024 - Mar 2024,Q4 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,4,3,3,0,0,0,0,1500000,Commercialisation,37,7186594,1293587
07-02-2024 10:16,Q1 - Apr 2024 - Jun 2024,Q1 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,3,3,0,0,0,0,0,Commercialisation,43,8413873,1512697
10-14-2024 18:29:06,Q2 - July 2024 - Sept 2024,Q2 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,4,4,3,0,0,0,0,0,Commercialisation,45,12613611,1622270
01-09-2025 15:21,Q3 - Oct 2024 - Dec 2025,Q3 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,4,4,4,0,0,0,0,1500000,Commercialisation,45,9466646,1420963
4-24-2025 11:28:37,Q4 - Jan 2025 to March 2025,Q4 2025,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,2,2,4,4,4,0,0,0,0,0,Commercialisation,43,10875670.12,1606600.08
7-20-2023 11:50:04,Q1- Apr 2023 to June 2023,Q1 2023,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,4,4,3,0,0,0,0,1450640,Commercialisation,3,0,0
10-13-2023 14:55:16,Q2 - July 2023 - Sept 2023,Q2 2023,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,3,4,3,0,0,0,0,0,Commercialisation,3,26355,4020.3
01-05-2024 02:15,Q3 - Oct 2023 - Dec 2023,Q3 2023,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,3,3,3,0,0,0,0,0,Prototype Development,2,0,0
04-10-2024 14:44,Q4 - Jan 2024 to March 2024,Q4 2024,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,3,8832.3,1347.3
6-28-2024 12:12:03,Q1 - Apr 2024 to June 2024,Q1 2024,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,3,0,0
10-09-2024 10:56,Q2 - July 2024 to Sept 2024,Q2 2024,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,3,0,0
01-06-2025 10:56,Q3 - Oct 2024 to Dec 2024,Q3 2024,FLOWGET SOLUTIONS PVT LTD,Internet of Things,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,3,0,0
10-13-2023 15:06:14,Q2 - July 2023 to Sept 2023,Q2 2023,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,1128720,Product Trail,16,2033000,20000
01-05-2024 08:45,Q3 - Oct 2023 to Dec 2023,Q3 2023,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,20,1500000,0
04-12-2024 22:39,Q4 - Jan 2024 to March 2024,Q4 2024,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,0,Proof of Concept,15,1900000,0
07-01-2024 15:45,Q1 - Apr 2024 to June 2024,Q1 2024,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,30,4000000,0
10-14-2024 22:33:53,Q2- July 2024 - Sept 2024,Q2 2024,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,30,2000000,700000
1-14-2025 22:33:53,Q3- Oct 2024 - Dec 2024,Q3 2024,FUTURE GURUKULS EDUTECH PVT LTD,Edu-Tech,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,30,2000000,700000
7-21-2023 19:21:46,Q1- Apr 2023 to June 2023,Q1 2023,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,3,3,3,0,0,0,0,450615,Prototype Development,2,595000,29750
01-05-2024 22:29,Q3 - Oct 2023 - Dec 2023,Q3 2023,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,3,0,0,0,0,0,Market Entry,4,0,0
4-15-2024 11:12:33,Q4 - Jan 2024 to March 2024,Q4 2024,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,3,0,0,0,0,0,Prototype Development,4,0,0
6-29-2024 18:04:56,Q1 - Apr 2024 to June 2024,Q1 2024,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,3,0,0,0,0,0,Market Entry,4,0,0
10-09-2024 14:11,Q2 - July 2024 to Sept 2024,Q2 2024,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,3,0,0,0,0,0,Market Entry,4,0,5000
01-06-2025 02:18,Q3 - Oct 2024 to Dec 2024,Q3 2024,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,4,0,0,0,0,0,Market Entry,4,400000,0
4-13-2025 17:17:35,Q4 - Jan 2025 to Mar 2025,Q4 2025,INDIGUARD SYSTEMS PRIVATE LIMITED,Home Automation,Active,4,4,4,4,4,0,0,0,0,0,Commercialisation,4,84000,15120
7-19-2023 11:36:49,Q1- Apr 2023 to June 2023,Q1 2023,INFAB SEMICONDUCTOR PRIVATE LIMITED,Nano Tech,Active,4,3,1,1,1,0,0,0,0,4500000,Prototype Development,6,0,0
10-18-2023 12:15:35,Q2 - July 2023 - Sept 2023,Q2 2023,INFAB SEMICONDUCTOR PRIVATE LIMITED,Nano Tech,Active,3,3,1,1,1,0,0,0,0,0,Market Entry,3,0,0
01-04-2024 11:47,Q3 - Oct 2023 - Dec 2023,Q3 2023,INFAB SEMICONDUCTOR PRIVATE LIMITED,Nano Tech,Active,3,3,1,1,1,0,0,0,0,0,Prototype Development,6,0,0
4-13-2024 11:00:09,Q4 - Jan 2024 to March 2024,Q4 2024,INFAB SEMICONDUCTOR PRIVATE LIMITED,Nano Tech,Active,3,4,3,3,3,0,0,0,0,0,Prototype Development,5,0,0
Old Datas,Q2 - July 2024 to Sept 2024,Q2 2024,INFAB SEMICONDUCTOR PRIVATE LIMITED,Nano Tech,Active,3,4,3,3,3,0,0,0,0,0,Prototype Development,5,0,0
10-19-2023 17:18:15,Q2 - July 2023 to Sept 2023,Q2 2023,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,0,Market Entry,60,2795295,118440
01-08-2024 11:40,Q3 - Oct 2023 to Dec 2023,Q3 2023,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,2400000,Market Entry,64,2600000,200000
04-10-2024 15:17,Q4 - Jan 2024 to March 2024,Q4 2024,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,0,Market Entry,30,543000,90000
07-09-2024 10:09,Q1 - Apr 2024 - Jun 2024,Q1 2024,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,0,Market Entry,62,1807945,618320
10-08-2024 16:46,Q2 - July 2024 to Sept 2024,Q2 2024,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,0,Market Entry,62,1892945,73500
1-18-2025 16:46:54,Q3 - Oct 2024 - Dec 2024,Q3 2024,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,800000,Market Entry,66,2469574,194808
4-23-2025 15:41:46,Q4 - Jan 2025 to March 2025,Q4 2025,JESVID CRYO TECHNOLOGIES PRIVATE LIMITED,Industrial Design,Active,0,0,0,0,0,0,0,0,0,0,Market Entry,64,2000000,178000
7-19-2023 9:16:35,Q1- Apr 2023 to June 2023,Q1 2023,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,2,2,1,1,1,0,0,0,0,0,Product Trail,2,0,0
10-13-2023 16:37:26,Q2 - July 2023 - Sept 2023,Q2 2023,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,2,3,1,1,1,0,0,0,3000000,0,Product Trail,2,0,0
01-02-2024 14:09,Q3 - Oct 2023 - Dec 2023,Q3 2023,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,2,3,3,1,1,0,0,0,0,1080000,Product Trail,2,0,0
04-09-2024 10:21,Q4 - Jan 2024 to March 2024,Q4 2024,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,4,4,3,1,1,2700000,0,0,3500000,0,Product Trail,2,0,0
6-27-2024 9:35:23,Q1 - Apr 2024 to June 2024,Q1 2024,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,4,4,3,1,1,0,0,0,0,0,Product Trail,3,0,0
10-13-2024 11:59:14,Q2 - July 2024 to Sept 2024,Q2 2024,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,4,4,3,1,1,0,0,0,0,0,Product Trail,3,0,0
01-10-2025 10:24,Q3 - Oct 2024 to Dec 2024,Q3 2024,MICROBEAR APPLIED SCIENCES PRIVATE LIMITED,Technology Hardware,Active,4,4,3,1,1,0,0,0,0,810000,Product Trail,3,0,0
7-20-2023 12:37:18,Q1- Apr 2023 to June 2023,Q1 2023,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,3,3,3,4000000,0,0,0,1420640,Market Entry,15,1500000,250000
01-05-2024 11:27,Q3- Oct 2023 - Dec 2023,Q3 2023,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,3,900000,0,0,0,0,Prototype Development,17,3200000,592000
04-10-2024 16:16,Q4- Jan 2024 - Mar 2024,Q4 2024,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,3,1400000,0,0,0,0,Prototype Development,18,2800000,230000
6-28-2024 12:13:01,Q1 - Apr 2024 - Jun 2024,Q1 2024,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,15,200000,36000
10-14-2024 10:26:49,Q2 - July 2024 - Sept 2024,Q2 2024,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,22,950000,0
1-19-2025 10:26:49,Q3 - Oct 2024 - Dec 2025,Q3 2024,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,4,0,0,0,0,0,Prototype Development,22,0,0
04-11-2025 09:52,Q4 - Jan 2025 to Mar 2025,Q4 2025,NEVAR SYSTEMS PVT LTD,UAV,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,8,4204971,0
7-19-2023 18:55:08,Q1- Apr 2023 to June 2023,Q1 2023,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,2,2,3,3,3,0,0,0,0,0,Market Entry,4,150000,10000
10-18-2023 12:08:09,Q2 - July 2023 - Sept 2023,Q2 2023,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,3,2,3,3,1,0,0,0,0,0,Market Entry,4,45000,2000
01-04-2024 10:27,Q3 - Oct 2023 - Dec 2023,Q3 2023,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,2,2,2,3,1,0,0,0,0,0,Market Entry,4,50000,1100
04-12-2024 12:46,Q4 - Jan 2024 to March 2024,Q4 2024,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,3,3,3,3,1,0,0,0,2000000,1200000,Market Entry,5,100000,750
6-28-2024 9:46:25,Q1 - Apr 2024 to June 2024,Q1 2024,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,2,3,3,3,1,0,0,0,0,0,Market Entry,4,19397,461.86
10-08-2024 10:56,Q2 - July 2024 to Sept 2024,Q2 2024,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,3,3,3,3,3,0,0,0,0,0,Market Entry,4,0,0
1-15-2025 22:33:53,Q3 - Oct 2024 to Dec 2024,Q3 2024,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,3,3,3,3,3,0,0,0,0,0,Market Entry,4,45058,16452
4-17-2025 22:39:23,Q4 - Jan 2025 to Mar 2025,Q4 2025,NILAIYANA STUDIOS PRIVATE LIMITED,Fashion / Textile,Active,3,3,3,3,3,0,0,0,0,0,Market Entry,4,55093,1377
7-21-2023 11:47:27,Q1- Apr 2023 to June 2023,Q1 2023,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,3,0,0,0,480000,488585,Market Entry,1,0,0
10-18-2023 17:16:44,Q2 - July 2023 - Sept 2023,Q2 2023,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,0,0,Prototype Development,1,0,0
01-04-2024 10:00,Q3 - Oct 2023 - Dec 2023,Q3 2023,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,480000,0,Product Trail,1,0,0
04-12-2024 22:01,Q4 - Jan 2024 to March 2024,Q4 2024,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,0,0,Market Entry,1,0,0
07-01-2024 16:53,Q1 - Apr 2024 to June 2024,Q1 2024,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,0,0,Market Entry,1,0,0
10-10-2024 10:37,Q2 - July 2024 to Sept 2024,Q2 2024,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,3,0,0,0,0,0,Market Entry,1,0,0
01-07-2025 08:35,Q3 - Oct 2024 to Dec 2024,Q3 2024,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,0,0,Market Entry,1,0,0
4-16-2025 21:59:54,Q4 - Jan 2025 to Mar 2025,Q4 2025,OLI LOGIC TECHNOLOGIES PVT LTD,Mobility,Graduated,4,4,4,3,1,0,0,0,0,0,Product Trail,0,0,0
10-15-2023 22:15:12,Q2 - July 2023 - Sept 2023,Q2 2023,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,3,3,1,0,0,0,0,0,Market Entry,4,0,0
12-25-2023 11:19:03,Q3 - Oct 2023 - Dec 2023,Q3 2023,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,2,2,3,3,3,0,0,0,0,1620000,Market Entry,8,0,0
04-12-2024 09:46,Q4 - Jan 2024 to March 2024,Q4 2024,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,3,0,3,0,0,0,0,0,Market Entry,7,0,0
07-03-2024 10:07,Q1 - Apr 2024 to June 2024,Q1 2024,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Market Entry,5,25960,3960.01
10-08-2024 13:46,Q2 - July 2024 to Sept 2024,Q2 2024,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Market Entry,7,15583,0
18-01-2025 13:46,Q3 - Oct 2024 to Dec 2024,Q3 2024,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,1080000,Market Entry,7,1995,304.3
4-17-2025 5:55:37,Q4 - Jan 2025 to Mar 2025,Q4 2025,SCALEJET TECHNOLOGIES PRIVATE LIMITED,IT Services,Active,4,4,4,4,3,0,0,0,0,0,Prototype Development,5,6996,1259
7-20-2023 15:36:38,Q1- Apr 2023 to June 2023,Q1 2023,WARAR ENERGY,Electric Vehicles,Active,3,3,3,1,1,0,0,0,0,1060800,Prototype Development,6,0,0
10-19-2023 11:01:12,Q2 - July 2023 - Sept 2023,Q2 2023,WARAR ENERGY,Electric Vehicles,Active,3,3,3,3,3,0,0,0,0,0,Product Trail,6,0,0
01-05-2024 17:03,Q3 - Oct 2023 - Dec 2023,Q3 2023,WARAR ENERGY,Electric Vehicles,Active,4,4,3,3,3,0,0,0,0,0,Product Trail,5,0,0
04-09-2024 12:15,Q4 - Jan 2024 to March 2024,Q4 2024,WARAR ENERGY,Electric Vehicles,Active,4,3,3,3,3,0,0,0,0,0,Prototype Development,5,0,0
6-28-2024 9:45:42,Q1 - Apr 2024 to June 2024,Q1 2024,WARAR ENERGY,Electric Vehicles,Active,2,2,3,3,3,0,0,0,0,0,Product Trail,5,0,0
10-12-2024 11:15,Q2 - July 2024 to Sept 2024,Q2 2024,WARAR ENERGY,Electric Vehicles,Active,2,2,3,3,3,0,0,0,0,0,Product Trail,5,0,0
1-17-2025 11:15:18,Q3 - Oct 2024 to Dec 2024,Q3 2024,WARAR ENERGY,Electric Vehicles,Active,2,2,3,3,3,0,0,0,0,0,Product Trail,5,0,0
